,GUID,ID,Verb,Conjugated,English,Greek Sentence,English Sentence,Tense,Person,Number
0,lfvs5bzDgW,0,αγοράζω,άγορασα,I bought,Άγορασα ένα νέο αυτοκίνητο.,I bought a new car.,Past Simple,1st,Singular
1,aU50Siro37,1,αγοράζω,αγόρασες,You bought,Αγόρασες ένα νέο βιβλίο;,You bought a new book?,Past Simple,2nd,Singular
2,NXmcxBq5M7,2,αγοράζω,αγόρασε,He/She/It bought,Αγόρασε ένα νέο σπίτι.,He/She/It bought a new house.,Past Simple,3rd,Singular
3,XYF42i9vzR,3,αγοράζω,αγοράσαμε,We bought,Αγοράσαμε μια νέα τηλεόραση.,We bought a new TV.,Past Simple,1st,Plural
4,i8qX7YGIA4,4,αγοράζω,αγοράσατε,You bought,Αγοράσατε ένα νέο σκάφος;,You bought a new boat?,Past Simple,2nd,Plural
5,q5Ky2QIpRA,5,αγοράζω,αγόρασαν,They bought,Αγόρασαν ένα νέο σπίτι.,They bought a new house.,Past Simple,3rd,Plural
6,yDT19Xm2oZ,6,αγοράζω,αγόραζα,I was buying,Αγόραζα ένα νέο αυτοκίνητο.,I was buying a new car.,Past Continuous,1st,Singular
7,8uHttDm6CW,7,αγοράζω,αγόραζες,You were buying,Αγόραζες ένα νέο βιβλίο;,Were you buying a new book?,Past Continuous,2nd,Singular
8,9XUS9qZsHD,8,αγοράζω,αγόραζε,He/She/It was buying,Αγόραζε ένα νέο σπίτι.,He/She/It was buying a new house.,Past Continuous,3rd,Singular
9,9MK9qQ8B5x,9,αγοράζω,αγοράζαμε,We were buying,Αγοράζαμε μια νέα τηλεόραση.,We were buying a new TV.,Past Continuous,1st,Plural
10,v6TIXvxG1D,10,αγοράζω,αγοράζατε,You were buying,Αγοράζατε ένα νέο σκάφος;,Were you buying a new boat?,Past Continuous,2nd,Plural
11,bnwrItaiv8,11,αγοράζω,αγόραζαν,They were buying,Αγόραζαν ένα νέο σπίτι.,They were buying a new house.,Past Continuous,3rd,Plural
12,q7BDrrVD7G,12,αγοράζω,αγοράζω,I buy,Αγοράζω ένα νέο αυτοκίνητο.,I buy a new car.,Present,1st,Singular
13,PvUvJNUfa2,13,αγοράζω,αγοράζεις,You buy,Αγοράζεις ένα νέο βιβλίο;,You buy a new book?,Present,2nd,Singular
14,lRubJBAVol,14,αγοράζω,αγοράζει,He/She/It buys,Αγοράζει ένα νέο σπίτι.,He/She/It buys a new house.,Present,3rd,Singular
15,zYG75pT9v5,15,αγοράζω,αγοράζουμε,We buy,Αγοράζουμε μια νέα τηλεόραση.,We buy a new TV.,Present,1st,Plural
16,EsZ7VqPUNH,16,αγοράζω,αγοράζετε,You buy,Αγοράζετε ένα νέο σκάφος;,You buy a new boat?,Present,2nd,Plural
17,iv6Br3q0Qg,17,αγοράζω,αγοράζουν,They buy,Αγοράζουν ένα νέο σπίτι.,They buy a new house.,Present,3rd,Plural
18,7ifmaiU8O2,18,αγοράζω,θα αγοράζω,I will be buying,Θα αγοράζω ένα νέο αυτοκίνητο.,I will be buying a new car.,Future Continuous,1st,Singular
19,bOhSsmgH2h,19,αγοράζω,θα αγοράζεις,You will be buying,Θα αγοράζεις ένα νέο βιβλίο;,Will you be buying a new book?,Future Continuous,2nd,Singular
20,zZlRCIVWo2,20,αγοράζω,θα αγοράζει,He/She/It will be buying,Θα αγοράζει ένα νέο σπίτι.,He/She/It will be buying a new house.,Future Continuous,3rd,Singular
21,zvK9C3puh3,21,αγοράζω,θα αγοράζουμε,We will be buying,Θα αγοράζουμε μια νέα τηλεόραση.,We will be buying a new TV.,Future Continuous,1st,Plural
22,rhwHl5c4lx,22,αγοράζω,θα αγοράζετε,You will be buying,Θα αγοράζετε ένα νέο σκάφος;,Will you be buying a new boat?,Future Continuous,2nd,Plural
23,bGVb96L6Zd,23,αγοράζω,θα αγοράζουν,They will be buying,Θα αγοράζουν ένα νέο σπίτι.,They will be buying a new house.,Future Continuous,3rd,Plural
24,A2tSLTDkPD,24,αγοράζω,θα αγοράσω,I will buy,Θα αγοράσω ένα νέο αυτοκίνητο.,I will buy a new car.,Future Simple,1st,Singular
25,jpIJujc53v,25,αγοράζω,θα αγοράσεις,You will buy,Θα αγοράσεις ένα νέο βιβλίο;,Will you buy a new book?,Future Simple,2nd,Singular
26,Z841Fp5NMI,26,αγοράζω,θα αγοράσει,He/She/It will buy,Θα αγοράσει ένα νέο σπίτι.,He/She/It will buy a new house.,Future Simple,3rd,Singular
27,1mR1yT22K8,27,αγοράζω,θα αγοράσουμε,We will buy,Θα αγοράσουμε μια νέα τηλεόραση.,We will buy a new TV.,Future Simple,1st,Plural
28,fNj1HShR8t,28,αγοράζω,θα αγοράσετε,You will buy,Θα αγοράσετε ένα νέο σκάφος;,Will you buy a new boat?,Future Simple,2nd,Plural
29,qvoCtbv0mB,29,αγοράζω,θα αγοράσουν,They will buy,Θα αγοράσουν ένα νέο σπίτι.,They will buy a new house.,Future Simple,3rd,Plural
30,PBEjkFfv8P,0,ακούω,άκουσα,I heard,Άκουσα ένα ωραίο τραγούδι.,I heard a nice song.,Past Simple,1st,Singular
31,UeKEMjvZQ8,1,ακούω,άκουσες,You heard,Άκουσες τι είπε;,Did you hear what he said?,Past Simple,2nd,Singular
32,cG4aAQyUoT,2,ακούω,άκουσε,He/She/It heard,Ο δάσκαλος άκουσε την απάντηση.,The teacher heard the answer.,Past Simple,3rd,Singular
33,CYpddnyILi,3,ακούω,ακούσαμε,We heard,Ακούσαμε την μουσική.,We heard the music.,Past Simple,1st,Plural
34,Su9IrYQZvA,4,ακούω,ακούσατε,You heard,Ακούσατε το τηλέφωνο;,Did you hear the telephone?,Past Simple,2nd,Plural
35,Lc6bb0MXIF,5,ακούω,άκουσαν,They heard,Άκουσαν τα νέα.,They heard the news.,Past Simple,3rd,Plural
36,UpD2y8SMmD,6,ακούω,άκουγα,I was hearing/listening,Άκουγα μουσική.,I was listening to music.,Past Continuous,1st,Singular
37,xAGTtL4o8d,7,ακούω,άκουγες,You were hearing/listening,Άκουγες προσεκτικά;,Were you listening carefully?,Past Continuous,2nd,Singular
38,yzvjigEDDd,8,ακούω,άκουγε,He/She/It was hearing/listening,Άκουγε προσεκτικά.,He/She was listening carefully.,Past Continuous,3rd,Singular
39,wgOZO2gn95,9,ακούω,ακούγαμε,We were hearing/listening,Ακούγαμε μουσική.,We were listening to music.,Past Continuous,1st,Plural
40,2rxKsHVKW3,10,ακούω,ακούγατε,You were hearing/listening,Ακούγατε την συζήτηση;,Were you listening to the conversation?,Past Continuous,2nd,Plural
41,8fD28UjqKk,11,ακούω,άκουγαν,They were hearing/listening,Άκουγαν προσεκτικά.,They were listening carefully.,Past Continuous,3rd,Plural
42,rzbDwVJfzu,12,ακούω,ακούω,I hear/listen,Ακούω μουσική.,I listen to music.,Present,1st,Singular
43,qheFplL4JP,13,ακούω,ακούς,You hear/listen,Ακούς;,Do you hear?,Present,2nd,Singular
44,tsICRXGFJn,14,ακούω,ακούει,He/She/It hears/listens,Ακούει προσεκτικά.,He/She listens carefully.,Present,3rd,Singular
45,jrunpGOxgC,15,ακούω,ακούμε,We hear/listen,Ακούμε ραδιόφωνο.,We listen to the radio.,Present,1st,Plural
46,DFm7nEVTcA,16,ακούω,ακούτε,You hear/listen,Ακούτε;,Do you hear?,Present,2nd,Plural
47,JKtT9A5Yq4,17,ακούω,ακούν,They hear/listen,Ακούν προσεκτικά.,They listen carefully.,Present,3rd,Plural
48,JfvgKmudTP,18,ακούω,θα ακούω,I will be hearing/listening,Θα ακούω μουσική.,I will be listening to music.,Future Continuous,1st,Singular
49,FOD8AY6YZo,19,ακούω,θα ακούς,You will be hearing/listening,Θα ακούς προσεκτικά;,Will you be listening carefully?,Future Continuous,2nd,Singular
50,kGY0NxAZ23,20,ακούω,θα ακούει,He/She/It will be hearing/listening,Θα ακούει προσεκτικά.,He/She will be listening carefully.,Future Continuous,3rd,Singular
51,o2LRjLsodT,21,ακούω,θα ακούμε,We will be hearing/listening,Θα ακούμε μουσική.,We will be listening to music.,Future Continuous,1st,Plural
52,gcO8AY3eBB,22,ακούω,θα ακούτε,You will be hearing/listening,Θα ακούτε προσεκτικά;,Will you be listening carefully?,Future Continuous,2nd,Plural
53,lB90uJccNo,23,ακούω,θα ακούν,They will be hearing/listening,Θα ακούν προσεκτικά.,They will be listening carefully.,Future Continuous,3rd,Plural
54,LwDm7lUSNw,24,ακούω,θα ακούσω,I will hear/listen,Θα ακούσω προσεκτικά.,I will listen carefully.,Future Simple,1st,Singular
55,VUi9xR7rk0,25,ακούω,θα ακούσεις,You will hear/listen,Θα ακούσεις;,Will you hear?,Future Simple,2nd,Singular
56,MZdPTXouBa,26,ακούω,θα ακούσει,He/She/It will hear/listen,Θα ακούσει προσεκτικά.,He/She will listen carefully.,Future Simple,3rd,Singular
57,kBCbwcx4EQ,27,ακούω,θα ακούσουμε,We will hear/listen,Θα ακούσουμε προσεκτικά.,We will listen carefully.,Future Simple,1st,Plural
58,7RtruQHqiA,28,ακούω,θα ακούσετε,You will hear/listen,Θα ακούσετε;,Will you hear?,Future Simple,2nd,Plural
59,QKlCwBdnGt,29,ακούω,θα ακούσουν,They will hear/listen,Θα ακούσουν προσεκτικά.,They will listen carefully.,Future Simple,3rd,Plural
60,5sA3BY1Scd,0,αλλάζω,άλλαξα,I changed,Άλλαξα ρούχα.,I changed clothes.,Past Simple,1st,Singular
61,zKCi1EJlV4,1,αλλάζω,άλλαξες,You changed,Άλλαξες γνώμη;,You changed your mind?,Past Simple,2nd,Singular
62,RLBhuzlFvD,2,αλλάζω,άλλαξε,He/She/It changed,Το αυτοκίνητο άλλαξε χρώμα.,The car changed color.,Past Simple,3rd,Singular
63,hSPlfMPJfK,3,αλλάζω,αλλάξαμε,We changed,Αλλάξαμε τα σχέδια.,We changed the plans.,Past Simple,1st,Plural
